Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500068,DISAQ,DISA INDIA LTD.,03 Aug 2020,Final Dividend - Rs. - 2.5000,-,05 Aug 2020,12 Aug 2020,29 Jul 2020,04 Aug 2020,-
541179,ISEC,ICICI Securities Ltd,03 Aug 2020,Final Dividend - Rs. - 6.7500,-,05 Aug 2020,11 Aug 2020,29 Jul 2020,04 Aug 2020,-
504084,KAYCEEI,KAYCEE INDUSTRIES LTD.,03 Aug 2020,Final Dividend - Rs. - 30.0000,04 Aug 2020,-,-,28 Jul 2020,03 Aug 2020,-
500257,LUPIN,LUPIN LTD.,03 Aug 2020,Final Dividend - Rs. - 6.0000,-,05 Aug 2020,12 Aug 2020,29 Jul 2020,04 Aug 2020,-
532163,SAREGAMA,SAREGAMA INDIA LTD.,03 Aug 2020,Final Dividend - Rs. - 1.5000,-,05 Aug 2020,11 Aug 2020,29 Jul 2020,04 Aug 2020,-
500114,TITAN,Titan Company Limited,03 Aug 2020,Dividend - Rs. - 4.0000,-,05 Aug 2020,11 Aug 2020,29 Jul 2020,04 Aug 2020,-
500092,CRISIL,CRISIL LTD.,04 Aug 2020,Interim Dividend - Rs. - 6.0000,05 Aug 2020,-,-,29 Jul 2020,04 Aug 2020,-
522263,JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$,04 Aug 2020,Final Dividend - Rs. - 0.7000,-,06 Aug 2020,11 Aug 2020,30 Jul 2020,05 Aug 2020,-
533148,JSWENERGY,JSW Energy Ltd,04 Aug 2020,Final Dividend - Rs. - 1.0000,-,06 Aug 2020,13 Aug 2020,30 Jul 2020,05 Aug 2020,-
506528,KELENRG,KELTECH ENERGIES LTD.,04 Aug 2020,Final Dividend - Rs. - 1.5000,-,06 Aug 2020,12 Aug 2020,30 Jul 2020,05 Aug 2020,-
504112,NELCO,NELCO LTD.,04 Aug 2020,Dividend - Rs. - 1.2000,-,06 Aug 2020,13 Aug 2020,30 Jul 2020,05 Aug 2020,-
539354,POLYSPIN,Polyspin Exports Ltd,04 Aug 2020,Final Dividend - Rs. - 0.6000,05 Aug 2020,-,-,29 Jul 2020,04 Aug 2020,-
509472,CRAVATEX,CRAVATEX LTD.,05 Aug 2020,Final Dividend - Rs. - 1.0000,-,07 Aug 2020,13 Aug 2020,-,-,-
500168,GOODYEAR,GOODYEAR INDIA LTD.,05 Aug 2020,Final Dividend - Rs. - 13.0000,-,07 Aug 2020,13 Aug 2020,-,-,-
532482,GRANULES,GRANULES INDIA LTD.-$,05 Aug 2020,Final Dividend - Rs. - 0.2500,-,07 Aug 2020,13 Aug 2020,-,-,-
534816,INFRATEL,BHARTI INFRATEL LTD.,05 Aug 2020,Interim Dividend - Rs. - 2.3000,06 Aug 2020,-,-,30 Jul 2020,05 Aug 2020,-
500510,LT,LARSEN & TOUBRO LTD.,05 Aug 2020,Final Dividend - Rs. - 8.0000,-,07 Aug 2020,13 Aug 2020,-,-,-
531201,SHILCTECH,SHILCHAR TECHNOLOGIES LTD.,05 Aug 2020,Dividend - Rs. - 1.0000,-,07 Aug 2020,14 Aug 2020,-,-,-
533101,SURYAAMBA,SURYAAMBA SPINNING MILLS LTD.,05 Aug 2020,Final Dividend - Rs. - 0.6000,-,07 Aug 2020,13 Aug 2020,-,-,-
500575,VOLTAS,VOLTAS LTD.,05 Aug 2020,Dividend - Rs. - 4.0000,-,07 Aug 2020,21 Aug 2020,-,-,-
506767,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,06 Aug 2020,Dividend - Rs. - 10.0000,-,08 Aug 2020,14 Aug 2020,-,-,-
542057,BCPL,BCPL Railway Infrastructure Ltd,06 Aug 2020,Final Dividend - Rs. - 0.2000,-,08 Aug 2020,14 Aug 2020,-,-,-
532454,BHARTIARTL,BHARTI AIRTEL LTD.,06 Aug 2020,Final Dividend - Rs. - 2.0000,07 Aug 2020,-,-,-,-,-
505255,GMM,GMM PFAUDLER LTD.,06 Aug 2020,Interim Dividend - Rs. - 1.0000,07 Aug 2020,-,-,-,-,-
532129,HEXAWARE,HEXAWARE TECHNOLOGIES LTD.,06 Aug 2020,Interim Dividend - Rs. - 1.5000,07 Aug 2020,-,-,-,-,-
504258,LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,06 Aug 2020,Dividend - Rs. - 0.5000,-,08 Aug 2020,14 Aug 2020,-,-,-
539894,MADHAVIPL,Madhav Infra Projects Ltd,06 Aug 2020,Bonus issue 3:1,07 Aug 2020,-,-,-,-,-
524774,NGLFINE,NGL FINE-CHEM LTD.,06 Aug 2020,Final Dividend - Rs. - 1.7500,07 Aug 2020,-,-,-,-,-
505800,RANEHOLDIN,RANE HOLDINGS LTD.,06 Aug 2020,Final Dividend - Rs. - 4.0000,07 Aug 2020,-,-,-,-,-
503806,SRF,SRF LTD.,06 Aug 2020,Interim Dividend,07 Aug 2020,-,-,-,-,-
513517,STEELCAS,STEELCAST LTD.,06 Aug 2020,Final Dividend - Rs. - 0.6000,-,08 Aug 2020,14 Aug 2020,-,-,-
524542,SUKHJITS,SUKHJIT STARCH & CHEMICALS LTD.-$,06 Aug 2020,Dividend - Rs. - 2.0000,-,08 Aug 2020,13 Aug 2020,-,-,-
500470,TATASTEEL,TATA STEEL LTD.,06 Aug 2020,Final Dividend - Rs. - 10.0000,-,08 Aug 2020,20 Aug 2020,-,-,-
516072,VISHNU,VISHNU CHEMICALS LTD.,06 Aug 2020,Dividend - Rs. - 1.0000,-,08 Aug 2020,14 Aug 2020,-,-,-
532144,WELCORP,Welspun Corp Limited,06 Aug 2020,Dividend - Rs. - 0.5000,07 Aug 2020,-,-,-,-,-
